ID,date,entry_time,exit_time
1254,2025-07-01T00:00:00Z,2025-07-01T16:46:23Z,2025-07-01T18:46:41Z
1433,2025-07-01T00:00:00Z,2025-07-01T13:12:38Z,2025-07-01T13:50:04Z
1433,2025-07-01T00:00:00Z,2025-07-01T16:46:19Z,2025-07-01T18:46:59Z
1510,2025-07-04T00:00:00Z,2025-07-04T17:41:09Z,2025-07-04T18:04:24Z
2262,2025-07-04T00:00:00Z,2025-07-04T18:17:09Z,2025-07-04T18:27:05Z
2567,2025-06-30T00:00:00Z,2025-06-30T15:47:54Z,2025-06-30T18:42:56Z
2567,2025-07-02T00:00:00Z,2025-07-02T17:21:27Z,2025-07-02T18:11:00Z
2682,2025-06-30T00:00:00Z,2025-06-30T15:23:53Z,2025-06-30T17:06:55Z
2701,2025-06-27T00:00:00Z,2025-06-27T14:42:24Z,2025-06-27T18:02:09Z
2701,2025-06-30T00:00:00Z,2025-06-30T14:27:03Z,2025-06-30T18:25:58Z
2701,2025-07-01T00:00:00Z,2025-07-01T14:24:33Z,2025-07-01T18:20:55Z
2701,2025-07-02T00:00:00Z,2025-07-02T14:05:50Z,2025-07-02T17:10:06Z
2701,2025-07-03T00:00:00Z,2025-07-03T14:36:23Z,2025-07-03T18:18:06Z
2701,2025-07-04T00:00:00Z,2025-07-04T14:05:05Z,2025-07-04T18:28:41Z
2701,2025-07-07T00:00:00Z,2025-07-07T14:20:47Z,2025-07-07T19:01:39Z
3784,2025-07-01T00:00:00Z,2025-07-01T16:06:59Z,2025-07-01T19:49:41Z
4933,2025-07-04T00:00:00Z,2025-07-04T16:33:10Z,2025-07-04T18:10:28Z
5329,2025-06-27T00:00:00Z,2025-06-27T14:22:37Z,2025-06-27T16:37:03Z
7595,2025-06-27T00:00:00Z,2025-06-27T15:30:44Z,2025-06-27T15:33:30Z
7595,2025-06-27T00:00:00Z,2025-06-27T15:34:06Z,2025-06-27T21:32:10Z
9181,2025-07-07T00:00:00Z,2025-07-07T14:39:35Z,2025-07-07T15:26:32Z
9181,2025-07-07T00:00:00Z,2025-07-07T15:27:01Z,2025-07-07T15:38:09Z
9181,2025-07-07T00:00:00Z,2025-07-07T16:02:25Z,2025-07-07T18:10:18Z
9181,2025-07-07T00:00:00Z,2025-07-07T19:26:42Z,2025-07-07T19:38:14Z
11368,2025-07-04T00:00:00Z,2025-07-04T16:44:05Z,2025-07-04T18:04:21Z
11522,2025-06-27T00:00:00Z,2025-06-27T15:52:33Z,2025-06-27T17:22:49Z
11712,2025-07-03T00:00:00Z,2025-07-03T18:49:19Z,2025-07-03T19:01:54Z
11845,2025-07-01T00:00:00Z,2025-07-01T14:29:05Z,2025-07-01T16:09:31Z
11985,2025-06-30T00:00:00Z,2025-06-30T16:57:01Z,2025-06-30T17:24:07Z
12549,2025-07-02T00:00:00Z,2025-07-02T19:04:57Z,2025-07-02T19:51:32Z
12785,2025-07-01T00:00:00Z,2025-07-01T13:03:26Z,2025-07-01T17:13:08Z
12906,2025-07-03T00:00:00Z,2025-07-03T13:47:23Z,2025-07-03T16:09:52Z
13734,2025-07-03T00:00:00Z,2025-07-03T13:45:11Z,2025-07-03T15:21:30Z
13734,2025-07-07T00:00:00Z,2025-07-07T13:12:51Z,2025-07-07T14:00:12Z
13860,2025-07-07T00:00:00Z,2025-07-07T19:52:14Z,2025-07-07T20:20:00Z
13960,2025-07-07T00:00:00Z,2025-07-07T16:51:04Z,2025-07-07T18:34:16Z
14020,2025-07-04T00:00:00Z,2025-07-04T15:47:35Z,2025-07-04T16:05:57Z
14146,2025-06-27T00:00:00Z,2025-06-27T16:24:01Z,2025-06-27T17:48:57Z
14146,2025-06-30T00:00:00Z,2025-06-30T13:55:15Z,2025-06-30T17:44:35Z
14146,2025-07-02T00:00:00Z,2025-07-02T15:41:29Z,2025-07-02T16:19:26Z
14146,2025-07-02T00:00:00Z,2025-07-02T18:37:56Z,2025-07-02T19:10:36Z
14146,2025-07-03T00:00:00Z,2025-07-03T16:08:28Z,2025-07-03T16:23:26Z
14146,2025-07-03T00:00:00Z,2025-07-03T18:04:12Z,2025-07-03T19:48:12Z
14146,2025-07-04T00:00:00Z,2025-07-04T15:12:58Z,2025-07-04T21:06:02Z
14146,2025-07-07T00:00:00Z,2025-07-07T14:01:28Z,2025-07-07T18:02:18Z
14146,2025-07-07T00:00:00Z,2025-07-07T18:32:24Z,2025-07-07T21:27:12Z
14158,2025-06-27T00:00:00Z,2025-06-27T16:06:52Z,2025-06-27T16:09:17Z
14158,2025-06-27T00:00:00Z,2025-06-27T16:13:48Z,2025-06-27T22:47:28Z
14303,2025-07-01T00:00:00Z,2025-07-01T14:36:25Z,2025-07-01T15:54:45Z
14333,2025-07-04T00:00:00Z,2025-07-04T16:40:54Z,2025-07-04T18:22:58Z
14995,2025-07-02T00:00:00Z,2025-07-02T16:23:42Z,2025-07-02T17:45:28Z
14995,2025-07-07T00:00:00Z,2025-07-07T13:58:32Z,2025-07-07T15:24:05Z
15202,2025-06-27T00:00:00Z,2025-06-27T15:07:31Z,2025-06-27T16:43:52Z
15202,2025-07-02T00:00:00Z,2025-07-02T13:45:27Z,2025-07-02T15:27:05Z
15202,2025-07-02T00:00:00Z,2025-07-02T16:05:19Z,2025-07-02T17:49:21Z
15202,2025-07-03T00:00:00Z,2025-07-03T14:12:24Z,2025-07-03T15:33:09Z
15202,2025-07-04T00:00:00Z,2025-07-04T13:46:29Z,2025-07-04T15:52:46Z
15202,2025-07-04T00:00:00Z,2025-07-04T16:41:32Z,2025-07-04T20:08:36Z
15310,2025-07-02T00:00:00Z,2025-07-02T16:34:40Z,2025-07-02T16:41:38Z
15310,2025-07-07T00:00:00Z,2025-07-07T18:00:16Z,2025-07-07T18:05:28Z
15433,2025-07-04T00:00:00Z,2025-07-04T20:25:58Z,2025-07-04T20:28:26Z
17228,2025-07-03T00:00:00Z,2025-07-03T13:43:59Z,2025-07-03T14:32:38Z
17228,2025-07-04T00:00:00Z,2025-07-04T17:06:41Z,2025-07-04T18:17:50Z
18136,2025-07-07T00:00:00Z,2025-07-07T18:42:57Z,2025-07-07T19:55:26Z
18304,2025-06-30T00:00:00Z,2025-06-30T14:42:06Z,2025-06-30T15:09:41Z
18370,2025-07-03T00:00:00Z,2025-07-03T15:04:33Z,2025-07-03T16:07:05Z
18370,2025-07-07T00:00:00Z,2025-07-07T16:15:08Z,2025-07-07T19:09:30Z
18472,2025-07-01T00:00:00Z,2025-07-01T14:08:29Z,2025-07-01T19:45:46Z
18472,2025-07-02T00:00:00Z,2025-07-02T13:41:01Z,2025-07-02T18:00:38Z
18472,2025-07-04T00:00:00Z,2025-07-04T13:16:40Z,2025-07-04T16:15:45Z
18472,2025-07-04T00:00:00Z,2025-07-04T16:19:18Z,2025-07-04T18:31:27Z
18645,2025-06-27T00:00:00Z,2025-06-27T20:19:41Z,2025-06-27T20:41:27Z
18654,2025-07-01T00:00:00Z,2025-07-01T14:22:38Z,2025-07-01T14:52:41Z
18654,2025-07-02T00:00:00Z,2025-07-02T17:41:49Z,2025-07-02T18:25:46Z
18716,2025-07-02T00:00:00Z,2025-07-02T15:59:06Z,2025-07-02T16:02:46Z
18827,2025-07-01T00:00:00Z,2025-07-01T17:46:13Z,2025-07-01T18:00:01Z
19712,2025-07-01T00:00:00Z,2025-07-01T16:05:48Z,2025-07-01T17:29:28Z
